image_id,landmark_id,image_url
1,291,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/24DucdongNXa03JPG.jpg
2,291,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/24DucdongNXa02JPG.jpg
3,291,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/24DucdongNXa01JPG.jpg
4,688,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DONGTHAP/Langhoasadec/Langhoasadec02.jpg
5,688,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DONGTHAP/Langhoasadec/Langhoasadec03.jpg
6,688,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DONGTHAP/Langhoasadec/Langhoasadec04.jpg
7,688,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DONGTHAP/Langhoasadec/Langhoasadec05.jpg
8,100,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HungYen/PhoHien/Phohien04JPG.jpg
9,100,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HungYen/PhoHien/Phohien03JPG.jpg
10,100,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HungYen/PhoHien/Phohien02JPG.jpg
11,149,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/LaiChau/CNSinHo/DSC1055JPG.jpg
12,149,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/LaiChau/CNSinHo/DSC1054JPG.jpg
13,149,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/LaiChau/CNSinHo/DSC1053-Phong-canh-Sin-Ho.jpg
14,573,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/DIEMDULICHBOSUNG2020/HaNoi/CongvienThienDuongBaoSon/Baoson4JPG.jpg
15,573,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/DIEMDULICHBOSUNG2020/HaNoi/CongvienThienDuongBaoSon/Baoson3JPG.jpg
16,573,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/DIEMDULICHBOSUNG2020/HaNoi/CongvienThienDuongBaoSon/Baoson2JPG.jpg
17,573,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/DIEMDULICHBOSUNG2020/HaNoi/CongvienThienDuongBaoSon/Baoson1JPG.jpg
18,1072,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/VinhLong/KhuSinhThaiHoangHao/Anh-5.jpg
19,1072,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/VinhLong/KhuSinhThaiHoangHao/Anh-4.jpg
20,1072,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/VinhLong/KhuSinhThaiHoangHao/Anh-3.jpg
21,1072,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/VinhLong/KhuSinhThaiHoangHao/Anh-2.jpg
22,1072,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/VinhLong/KhuSinhThaiHoangHao/Anh-1.jpg
23,477,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/ThuathienHue/Nuingubinh/NguBinhMountain.jpg
24,518,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/QuanBaTwinMountain3.jpg
25,925,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BINHTHUAN/dinhthaythim/tamquandinhthaythim.jpg
26,974,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DIENBIEN/Hangthamvang/Hangthamvang1.jpg
27,974,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DIENBIEN/Hangthamvang/Hangthamvang2.jpg
28,974,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DIENBIEN/Hangthamvang/Hangthamvang3.jpg
29,974,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/DIENBIEN/Hangthamvang/Hangthamvang4.jpg
30,467,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/24Haulau04JPG.jpg
31,467,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/24Haulau02JPG.jpg
32,467,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/24Haulau01JPG.jpg
33,283,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/DenChuvanan03.jpg
34,283,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/DenChuvanan02.jpg
35,283,https://csdl.vietnamtourism.gov.vn/uploads/images/icon/DenChuvanan01.jpg
36,631,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/Dongphongnha/ben-thuyen-song-Son-phongnhaexplorer.jpg
37,631,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/Dongphongnha/cua-dong-phong-nha-quangbinhtravel.jpg
38,631,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/Dongphongnha/dong-phong-nha-quangbinhtravel.jpg
39,631,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/Dongphongnha/hang-tien-dong-phong-nha-phongnhaexplorer.jpg
40,632,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/baidanhay/bien-da-nhay-phongnhaexplorer.jpg
41,632,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/baidanhay/bien-da-nhay1-phongnhaexplorer.jpg
42,632,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/baidanhay/da-nhay3-quangbinhtravel.jpg
43,632,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/QuangBinh/baidanhay/da-nhay4-quangbinhtravel.jpg
44,726,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/HUNGYEN/DenPhuongHoang/61c583851df63bc562511a4e9c3522b6.jpg
45,726,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/HUNGYEN/DenPhuongHoang/56144048.jpg
46,768,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BACKAN/KhuATK/KhuATKchodon01.jpg
47,768,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BACKAN/KhuATK/KhuATKchodon02.jpg
48,768,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BACKAN/KhuATK/KhuATKchodon03.jpg
49,768,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BACKAN/KhuATK/KhuATKchodon04.jpg
50,1098,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CVVHTHANHLE/CV-VH-THANH-LE-3.jpg
51,1098,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CVVHTHANHLE/CV-VH-THANH-LE-2.jpg
52,1098,https://csdl.vietnamtourism.gov.vn/uploads/images/01_3/CSDLDIEMDL2021/BinhDuong/CVVHTHANHLE/CV-VH-THANH-LE-1.jpg
53,24,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangNam/HoiquanQuangDong/QuangDongAssemblyHall4.jpg
54,24,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangNam/HoiquanQuangDong/QuangDongAssemblyHall3.jpg
55,24,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangNam/HoiquanQuangDong/QuangDongAssemblyHall2.jpg
56,24,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangNam/HoiquanQuangDong/QuangDongAssemblyHall.jpg
57,57,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/LHchuahuong/LHchuahuong15.jpg
58,57,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/LHchuahuong/LHchuahuong14.jpg
59,57,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/LHchuahuong/LHchuahuong13.jpg
60,57,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/LHchuahuong/LHchuahuong12.jpg
61,57,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/LHchuahuong/LHchuahuong11.jpg
62,57,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/LHchuahuong/LHchuahuong10.jpg
