name,location,tag,description,budget_range,specific_needs_tags
Hồ Hoàn Kiếm,Hà Nội,"lịch sử, biểu tượng, thư giãn, đi dạo","Hồ trung tâm Hà Nội, có Tháp Rùa và cầu Thê Húc, thích hợp đi bộ, ngắm cảnh.",,wheelchair
Vịnh Hạ Long,Quảng Ninh,"biển, di sản, nghỉ dưỡng, du thuyền",Kỳ quan thiên nhiên thế giới với hàng nghìn đảo đá vôi giữa biển.,,
Đảo Cô Tô,Quảng Ninh,"biển, hoang sơ, tắm biển, nghỉ dưỡng","Hòn đảo nhỏ, bãi biển trong xanh, thích hợp nghỉ hè.",,
Đền Hùng,Phú Thọ,"văn hóa, lịch sử, tín ngưỡng","Nơi thờ các vua Hùng – tổ tiên người Việt, thường có lễ hội Giỗ Tổ.",,
Thác Bản Giốc,Cao Bằng,"thiên nhiên, thác nước, check-in","Một trong những thác nước đẹp nhất Việt Nam, giáp biên giới Trung Quốc.",,
Hồ Ba Bể,Bắc Kạn,"hồ, thiên nhiên, chèo thuyền","Hồ nước ngọt lớn giữa núi rừng, phong cảnh hữu tình.",,
Cột cờ Lũng Cú,Hà Giang,"biểu tượng, cực Bắc, ngắm cảnh","Điểm cực Bắc của Việt Nam, biểu tượng thiêng liêng của Tổ quốc.",,
Cao nguyên đá Đồng Văn,Hà Giang,"thiên nhiên, địa chất, phượt","Di sản địa chất UNESCO, cảnh quan hùng vĩ với núi đá tai mèo.",,
Thác Bạc,Lào Cai,"thiên nhiên, thác nước, mát mẻ","Gần thị trấn Sapa, nổi tiếng với dòng nước trắng xóa như bạc.",,
Đỉnh Fansipan,Lào Cai,"leo núi, ngắm cảnh, biểu tượng","Nóc nhà Đông Dương, có thể đi cáp treo hoặc leo bộ.",,
Tràng An,Ninh Bình,"di sản, hang động, du lịch sinh thái",Khu danh thắng Tràng An với hệ thống hang động và sông nước.,,
Tam Cốc – Bích Động,Ninh Bình,"thiên nhiên, chèo thuyền, núi đá","Vịnh Hạ Long trên cạn, cảnh đẹp như tranh thủy mặc.",,
Cố đô Huế,Thừa Thiên Huế,"lịch sử, di sản, văn hóa","Kinh thành xưa của triều Nguyễn, nhiều cung điện, lăng tẩm cổ.",,
Phố cổ Hội An,Quảng Nam,"văn hóa, đèn lồng, di sản","Phố cổ được UNESCO công nhận, nổi tiếng với đèn lồng và ẩm thực.",,
Cù Lao Chàm,Quảng Nam,"biển, đảo, lặn biển","Hòn đảo yên bình gần Hội An, nước trong xanh và san hô đẹp.",,
Bà Nà Hills,Đà Nẵng,"vui chơi, nghỉ dưỡng, cầu Vàng","Khu du lịch trên núi, có khí hậu mát mẻ quanh năm.",,
Bán đảo Sơn Trà,Đà Nẵng,"biển, ngắm cảnh, thiên nhiên",Khu bảo tồn thiên nhiên với khỉ vàng và chùa Linh Ứng.,,
Biển Mỹ Khê,Đà Nẵng,"biển, tắm biển, nghỉ dưỡng",Một trong những bãi biển đẹp nhất hành tinh do Forbes bình chọn.,,
Ghềnh Đá Đĩa,Phú Yên,"thiên nhiên, kỳ thú, check-in",Hiện tượng tự nhiên độc đáo với các khối đá bazan hình lục giác.,,
Tháp Nhạn,Phú Yên,"văn hóa, kiến trúc, lịch sử",Ngọn tháp Chăm cổ nằm trên đồi cao nhìn xuống sông Đà Rằng.,,
Mũi Né,Bình Thuận,"biển, cát, thể thao, nghỉ dưỡng",Thiên đường nghỉ dưỡng với đồi cát bay và bãi biển dài.,,
Đà Lạt,Lâm Đồng,"nghỉ dưỡng, khí hậu mát, hoa","Thành phố ngàn hoa, khí hậu ôn đới, lãng mạn và trong lành.",,
Biển Nha Trang,Khánh Hòa,"biển, nghỉ dưỡng, tắm biển","Thành phố biển sôi động, nổi tiếng với Vinpearl và các đảo nhỏ.",,
Đảo Bình Ba,Khánh Hòa,"biển, hải sản, du lịch bụi",Đảo nhỏ nổi tiếng với tôm hùm và bãi tắm hoang sơ.,,
Buôn Đôn,Đắk Lắk,"văn hóa, voi, sông Sêrêpôk",Nổi tiếng với nghề săn voi và văn hóa Tây Nguyên.,,
Thác Dray Nur,Đắk Lắk,"thác nước, thiên nhiên","Thác lớn và đẹp nhất Tây Nguyên, nước đổ trắng xóa.",,
Biển Quy Nhơn,Bình Định,"biển, yên bình, nghỉ dưỡng","Biển xanh, cát trắng, thành phố yên bình với ẩm thực ngon.",,
Eo Gió,Bình Định,"ngắm cảnh, biển, chụp ảnh",Điểm check-in nổi tiếng với gió biển mạnh và cảnh đẹp.,,
Đảo Lý Sơn,Quảng Ngãi,"biển, núi lửa, hoang sơ","Đảo núi lửa cổ, trồng tỏi và có cảnh biển đẹp.",,
Động Phong Nha,Quảng Bình,"hang động, di sản, thiên nhiên","Hệ thống hang động lớn, kỳ vĩ trong Vườn quốc gia Phong Nha – Kẻ Bàng.",,
Hang Sơn Đoòng,Quảng Bình,"thám hiểm, hang động, thiên nhiên","Hang động lớn nhất thế giới, kỳ quan thiên nhiên độc nhất.",,
Biển Cửa Lò,Nghệ An,"biển, nghỉ mát, gia đình","Bãi biển nổi tiếng miền Trung, nước trong và đông du khách.",,
Pù Mát,Nghệ An,"rừng, thiên nhiên, sinh thái",Vườn quốc gia rộng lớn với hệ động thực vật phong phú.,,
Bến Nhà Rồng,TP.HCM,"lịch sử, bảo tàng","Nơi Bác Hồ ra đi tìm đường cứu nước, hiện là bảo tàng Hồ Chí Minh.",,
Chợ Bến Thành,TP.HCM,"mua sắm, ẩm thực, biểu tượng","Ngôi chợ cổ giữa trung tâm Sài Gòn, nổi tiếng với quà lưu niệm.",,
Nhà thờ Đức Bà,TP.HCM,"kiến trúc, biểu tượng, lịch sử","Công trình Pháp cổ, biểu tượng Sài Gòn.",,
Đảo Phú Quốc,Kiên Giang,"biển, nghỉ dưỡng, resort",Đảo ngọc với nhiều bãi biển đẹp và khu nghỉ dưỡng sang trọng.,,
Chợ nổi Cái Răng,Cần Thơ,"văn hóa, sông nước, ẩm thực","Chợ nổi đặc trưng miền Tây, buôn bán trên ghe thuyền.",,
Rừng tràm Trà Sư,An Giang,"sinh thái, thiên nhiên, ngắm cảnh",Khu rừng ngập nước với thuyền xuyên rừng đầy ấn tượng.,,
Núi Sam,An Giang,"tín ngưỡng, hành hương, cảnh đẹp",Nổi tiếng với Miếu Bà Chúa Xứ và lễ hội hành hương.,,
Cánh đồng quạt gió,Bạc Liêu,"check-in, biển, năng lượng","Khu điện gió gần biển, điểm chụp ảnh nổi tiếng.",,
Mũi Cà Mau,Cà Mau,"biểu tượng, cực Nam, thiên nhiên","Điểm cực Nam Tổ quốc, có tượng đài và rừng ngập mặn.",,
Côn Đảo,Bà Rịa – Vũng Tàu,"lịch sử, biển, tâm linh","Từng là nhà tù khét tiếng, nay là điểm du lịch tâm linh và nghỉ dưỡng.",,
Bãi Sau,Vũng Tàu,"biển, nghỉ dưỡng, du lịch gần SG","Bãi biển đông đúc, gần trung tâm thành phố.",,
Suối Tiên,TP.HCM,"vui chơi, giải trí, công viên",Khu du lịch văn hóa – giải trí theo chủ đề dân gian Việt.,,
Hồ Tràm,Bà Rịa – Vũng Tàu,"biển, resort, yên bình",Bãi biển yên tĩnh với nhiều khu nghỉ dưỡng cao cấp.,,
Hồ Dầu Tiếng,Tây Ninh,"hồ, cắm trại, thiên nhiên","Hồ nhân tạo lớn nhất Việt Nam, thích hợp picnic, cắm trại.",,
Núi Bà Đen,Tây Ninh,"tín ngưỡng, leo núi, cáp treo","Ngọn núi cao nhất Nam Bộ, có chùa Bà Đen linh thiêng.",,
Khu du lịch Đại Nam,Bình Dương,"vui chơi, giải trí, văn hóa","Tổ hợp giải trí lớn với vườn thú, đền thờ, khu vui chơi.",,
Biển Hồ,Gia Lai,"hồ, thiên nhiên, thơ mộng","Hồ nước tự nhiên hình tròn, gọi là mắt Pleiku.",,
Thác Pa Sỹ,Kon Tum,"thác nước, thiên nhiên",Thác nước đẹp giữa núi rừng Kon Tum.,,
Núi Ngọc Linh,Kon Tum,"leo núi, thiên nhiên, sâm Ngọc Linh","Ngọn núi cao nhất miền Trung, nơi có sâm quý hiếm.",,
Khu du lịch Hồ Mây,Vũng Tàu,"vui chơi, ngắm cảnh, cáp treo","Khu du lịch nằm trên núi Lớn, có view toàn thành phố.",,
Hòn Khô,Bình Định,"biển, lặn biển, chụp ảnh",Hòn đảo nhỏ với cây cầu gỗ ra biển nổi tiếng.,,
Vườn quốc gia Cát Tiên,Đồng Nai,"thiên nhiên, động vật, rừng",Khu bảo tồn sinh học lớn với nhiều loài quý hiếm.,,
Khu du lịch Bửu Long,Đồng Nai,"vui chơi, cảnh quan, hồ",Được mệnh danh là 'Hạ Long thu nhỏ' của miền Nam.,,
Đảo Nam Du,Kiên Giang,"biển, hoang sơ, cắm trại",Quần đảo xinh đẹp với bãi cát trắng và nước trong vắt.,,
Chùa Bái Đính,Ninh Bình,"tôn giáo, tâm linh, chùa","Ngôi chùa lớn nhất Việt Nam, nằm trong quần thể Tràng An.",,
Núi Hàm Rồng,Lào Cai,"ngắm cảnh, hoa, leo núi","Núi gần trung tâm Sapa, có khu vườn hoa và điểm ngắm toàn cảnh.",,
Thác Datanla,Đà Lạt,"thác nước, trò chơi, du lịch","Thác đẹp gần trung tâm Đà Lạt, có máng trượt nổi tiếng.",,
Vườn quốc gia U Minh Hạ,Cà Mau,"rừng, sinh thái, thiên nhiên",Rừng tràm ngập nước đặc trưng miền Tây Nam Bộ.,,
Hồ Tuyền Lâm,Đà Lạt,"hồ, nghỉ dưỡng, thiên nhiên","Hồ nước rộng, có resort và hoạt động chèo thuyền kayak.",,
Làng hoa Sa Đéc,Đồng Tháp,"hoa, du lịch sinh thái, chụp ảnh",Làng nghề trồng hoa lớn nhất miền Tây Nam Bộ.,,
