province,region,description-vi,description-en
Hà Nội,Bắc Bộ,"Thủ đô ngàn năm văn hiến, nổi tiếng với Hồ Gươm, phố cổ và ẩm thực đường phố.","The thousand-year-old capital famous for Hoan Kiem Lake, Old Quarter, and vibrant street food."
Hà Giang,Bắc Bộ,"Vùng cao nguyên đá hùng vĩ, nổi tiếng với đèo Mã Pì Lèng và ruộng bậc thang Hoàng Su Phì.",Majestic rocky plateau with Ma Pi Leng Pass and Hoang Su Phi terraced fields.
Cao Bằng,Bắc Bộ,"Nơi có thác Bản Giốc và hang Pác Bó, cảnh quan thiên nhiên kỳ vĩ.",Home to Ban Gioc waterfall and Pac Bo cave with stunning natural scenery.
Lạng Sơn,Bắc Bộ,"Cửa ngõ biên giới phía Bắc, có chợ Đông Kinh và động Tam Thanh.",Northern border gateway with Dong Kinh market and Tam Thanh cave.
Quảng Ninh,Bắc Bộ,Nổi tiếng với vịnh Hạ Long – Di sản thiên nhiên thế giới UNESCO.,Famous for Ha Long Bay – a UNESCO World Natural Heritage Site.
Bắc Ninh,Bắc Bộ,"Cái nôi dân ca quan họ, gần Hà Nội và giàu truyền thống văn hóa.","Birthplace of Quan ho folk songs, near Hanoi with rich cultural heritage."
Bắc Giang,Bắc Bộ,"Vùng trung du có chùa Vĩnh Nghiêm, đặc sản vải thiều Lục Ngạn.",Midland province with Vinh Nghiem Pagoda and Luc Ngan lychee specialty.
Thái Nguyên,Bắc Bộ,Nổi tiếng với đồi chè và khu ATK Định Hóa lịch sử.,Known for tea hills and the historical ATK Dinh Hoa site.
Phú Thọ,Bắc Bộ,"Đất tổ Hùng Vương, nơi diễn ra lễ hội Đền Hùng hàng năm.","Ancestral land of the Hung Kings, with annual Hung Temple Festival."
Vĩnh Phúc,Bắc Bộ,Có Tam Đảo mát mẻ quanh năm và hồ Đại Lải thơ mộng.,Home to cool Tam Dao and romantic Dai Lai Lake.
Tuyên Quang,Bắc Bộ,"Thủ đô kháng chiến xưa, có hồ Na Hang và lễ hội Thành Tuyên.",Old revolutionary capital with Na Hang Lake and vibrant Tuyen Festival.
Lào Cai,Bắc Bộ,"Nơi có Sa Pa, đỉnh Fansipan – nóc nhà Đông Dương.",Home to Sapa and Mount Fansipan – the Roof of Indochina.
Yên Bái,Bắc Bộ,Ruộng bậc thang Mù Cang Chải nổi tiếng thế giới.,Famous for Mu Cang Chai terraced rice fields.
Sơn La,Bắc Bộ,"Có Mộc Châu với đồi chè, hoa cải, và văn hóa dân tộc Thái.","Moc Chau known for tea hills, flower fields, and Thai ethnic culture."
Điện Biên,Bắc Bộ,"Chiến trường lịch sử Điện Biên Phủ, biểu tượng chiến thắng.",Historical battlefield of Dien Bien Phu – symbol of victory.
Lai Châu,Bắc Bộ,"Vùng núi hùng vĩ, điểm trekking và khám phá thiên nhiên lý tưởng.",Mountainous region ideal for trekking and nature exploration.
Hòa Bình,Bắc Bộ,"Cửa ngõ Tây Bắc, có hồ Hòa Bình và bản Mường cổ.",Gateway to the Northwest with Hoa Binh Lake and Muong villages.
Thanh Hóa,Trung Bộ,"Có Sầm Sơn, thành Nhà Hồ, và đặc sản nem chua.","Home to Sam Son beach, Ho Citadel, and nem chua specialty."
Nghệ An,Trung Bộ,"Quê hương Chủ tịch Hồ Chí Minh, có biển Cửa Lò và núi Quyết.",Homeland of President Ho Chi Minh with Cua Lo beach and Mount Quyet.
Hà Tĩnh,Trung Bộ,"Có biển Thiên Cầm, chùa Hương Tích và di tích Nguyễn Du.","Thiên Cầm beach, Huong Tich pagoda, and Nguyen Du heritage site."
Quảng Bình,Trung Bộ,Nổi tiếng với Phong Nha - Kẻ Bàng và hang Sơn Đoòng kỳ vĩ.,Famous for Phong Nha - Ke Bang and the world’s largest Son Doong cave.
Quảng Trị,Trung Bộ,Nơi ghi dấu vĩ tuyến 17 và thành cổ Quảng Trị.,Historical province with the 17th parallel and Quang Tri Citadel.
Thừa Thiên - Huế,Trung Bộ,"Cố đô Huế – di sản văn hóa thế giới, lăng tẩm và sông Hương.",Ancient capital Hue – UNESCO World Heritage with royal tombs and Perfume River.
Đà Nẵng,Trung Bộ,"Thành phố đáng sống, có cầu Rồng, biển Mỹ Khê, và Bà Nà Hills.","Livable city with Dragon Bridge, My Khe Beach, and Ba Na Hills."
Quảng Nam,Trung Bộ,Có Hội An cổ kính và thánh địa Mỹ Sơn.,Home to ancient Hoi An and My Son Sanctuary.
Quảng Ngãi,Trung Bộ,Có đảo Lý Sơn và bãi biển Sa Huỳnh.,Famous for Ly Son Island and Sa Huynh Beach.
Bình Định,Trung Bộ,Thành phố Quy Nhơn với bãi biển đẹp và võ cổ truyền Tây Sơn.,Qui Nhon city with beautiful beaches and Tay Son martial arts.
Phú Yên,Trung Bộ,Nổi tiếng với Gành Đá Dĩa và cảnh quay phim 'Tôi thấy hoa vàng trên cỏ xanh'.,Known for Ganh Da Dia and the film setting 'Yellow Flowers on Green Grass'.
Khánh Hòa,Trung Bộ,Thành phố Nha Trang – thiên đường biển đảo.,Nha Trang city – paradise of beaches and islands.
Ninh Thuận,Trung Bộ,"Khí hậu khô nóng, có vườn nho và biển Ninh Chữ.",Dry climate with vineyards and Ninh Chu beach.
Bình Thuận,Trung Bộ,"Thành phố Phan Thiết, đồi cát Mũi Né và biển xanh.",Phan Thiet city with Mui Ne sand dunes and blue sea.
